audio_path,score,evaluator_id
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_42.wav,4.0,3568550
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_42.wav,4.0,3580894
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_42.wav,4.0,3604503
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_42.wav,4.0,3568674
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_42.wav,4.0,3578910
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_42.wav,5.0,3578977
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_42.wav,5.0,3580162
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_42.wav,5.0,3581103
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,1.0,3582060
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,1.0,3578901
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,2.0,3581953
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,2.0,3568098
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,3.0,3579928
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,3.0,3593796
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,3.0,3568605
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,4.0,3581583
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,4.0,3604097
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,4.0,3604111
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,4.0,3581187
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,5.0,3580162
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,5.0,3581709
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,5.0,3604393
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_43.wav,5.0,3568706
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_44.wav,4.0,3579331
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_44.wav,4.0,3604111
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_44.wav,4.0,3604132
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_44.wav,4.0,3604162
Exp.2/model+SCL/Portuguese_MLS_SECS/12710_44.wav,4.0,3578910
